"",,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24*
1st Degree Course,,,,,,,,,
"","Agriculture, Forestry and Fishery","1,480","1,398","1,362",924,"1,298",934,"1,434","1,247"
"Architecture and Building--6039341,312664265905",,,,,,,,,
"",Business and Adminstration,"8,512","8,041","1,822","6,947","9,758","8,409","8,176","8,648"
"Computing1,5751,4881,2121,0731,5071,8201,7031,554",,,,,,,,,
"",Education (Arts),"15,134","14,296","14,518","12,104","17,001","10,322","10,713","11,710"
"Education (Science)3,3313,1473,8022,5293,5522,9892,7922,597",,,,,,,,,
"",Engineering,"1,461","1,380","1,194",970,"1,362","1,527","1,907","2,077"
"Environment2,5202,3802,0851,0041,4101,8951,2371,958",,,,,,,,,
"",Health and Welfare,"3,994","3,773","2,823","2,790","3,919","2,512","2,132","4,543"
"Humanities and Arts5,5055,2015,3521,2831,8024,1856,0021,676",,,,,,,,,
"",Jounalism and Information,61,57,290,265,372,853,"1,005","1,084"
"Law1,2601,1911,0639381,3189899571,093",,,,,,,,,
"",Life Science and Physical Science,"4,929","4,656","3,395","2,506","3,520","4,227","1,454","2,593"
"Mathematics and Statistics2762603531,0401,4611,5301,0301,733",,,,,,,,,
"",Security and Conflict Resolution,975,921,-,"1,049","1,473","1,058",854,818
"Services2,5552,4142,2941,1261,5821,2791,2911,907",,,,,,,,,
"",Social and Behavioral Science,"6,445","6,088","9,994","5,535","7,774","7,425","6,497","5,058"
Veterinary490463265190267--217,,,,,,,,,
"",Total Undergraduate Students,"60,503","57,154","52,427","43,207","60,688","52,617","49,449","51,418"
"Total Postgraduate (PhDs, Masters &Dip) Students11,92711,92712,40515,0548,96417,60618,45620,030",,,,,,,,,
"",Total Diploma and Certificate Students,144,"4,361","7,958","6,053","5,620","2,519","1,918","2,681"
"",,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24*
1st Degree Course,,,,,,,,,
"","Agriculture, Forestry and Fishery","1,819","1,489","2,005","2,209","2,763","2,731","2,190","2,918"
Architecture411336227-..,,,,,,,,,
"",Business and Adminstration,"1,172",960,"1,260","1,129","1,181","1,488","1,964","1,023"
Computing913747353302484276503574,,,,,,,,,
"",Education (Arts),"1,506","1,233","1,348","2,535","2,215","1,463","1,888","1,662"
"Education(Science)--1,1441,2831,2381,1231,2541,137",,,,,,,,,
"",Engineering,"1,579","1,293",828,603,895,961,..,340
Environment2117304535124268370187,,,,,,,,,
"",Health and Welfare,"1,073",878,581,"1,169","1,392","1,228","1,895","1,992"
Journalism and Information259212177287120182..254,,,,,,,,,
"",Law,59,48,93,191,99,122,253,312
"Life Science and Physical Science2,8492,3334,2281,1208582,6671,2001,190",,,,,,,,,
"",Manufacturing,..,..,..,660,147,277,254,226
"Mathematics and Statistics1,0268403713593496252771,006",,,,,,,,,
"",Other Undergraduate Courses (n.e.c.),-,-,-,-,-,"2,492","4,997","1,459"
Services......256263361301462,,,,,,,,,
"",Social and Behavioral Science,-,-,"2,405","3,163","3,876","2,441",265,"2,077"
Veterinary......568508150606252,,,,,,,,,
"",Total Undergraduate Students,"12,687","10,387","15,097","16,596","16,512","18,855","18,217","17,071"
"Total Postgraduate (PhDs & Masters)Students+114206300281157196111145",,,,,,,,,
"",Total Diploma and Certificate Students,896,179,771,825,740,217,562,331
"",,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24*
1st Degree Course,,,,,,,,,
"","Agriculture, Forestry and Fisheries","1,088","1,093",740,583,786,788,518,589
Architecture262263242243545532418428,,,,,,,,,
"",Business and administration,"2,253","2,263","2,162","2,651","5,197","5,645","4,866",3104
"Computing5815845847271,0701,0401,0751143",,,,,,,,,
"",Education (Arts),"2,872","2,886","2,433","2,368","3,530","3,677","2,383",2423
"Education (Science)9509548827277681,0611,7422239",,,,,,,,,
"",Engineering,-,-,-,-,-,-,-,-
Environment627630245167289157--,,,,,,,,,
"",Health and Welfare,"1,355","1,361",986,875,"1,332",655,"1,933",1674
"Humanities and Arts2,2492,2591,4541,5894,3552,4315,3013337",,,,,,,,,
"",Journalism and Information,404,406,503,544,963,644,-,481
Law-------154,,,,,,,,,
"",Life Science and Physical Science,829,833,992,"1,094",866,"1,857",662,682
Manufacturing--------,,,,,,,,,
"",Mathematics and Statistics,"1,371","1,378","1,160","1,185","1,605","1,660","1,322",1285
Security and Conflict Resolution616619----,,,,,,,,,
"",Services,-,-,,,-,-,-,-
"Social and Behavioral Science7917952,6012,7581,0451,6846774891",,,,,,,,,
"",Teacher Training,-,-,,,-,-,-,-
Veterinary--9860---91,,,,,,,,,
"",Other,161,162,,,-,-,-,-
"Total Undergraduate Students16,41016,48615,08215,57122,35121,83320,89722,521",,,,,,,,,
"","Total Postgraduate (PhDs, Masters &Dip) Students","1,937",114,"2,135","3,337",500,938,"3,015","2,970"
"Total Diploma and Certificate Students-8081,1011,0121,068192541367",,,,,,,,,
"",Fields,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24*
"Undergraduates............................411,905439,965389,257368,188423,550414,079415,141444,572",,,,,,,,,
"",Postgraduates...............................,"67,407","32,977","43,988","44,657","28,539","34,403","35,497","38,014"
"Other, i.e. Diploma, etc1 ...................3,97821,95424,75529,22437,24431,91740,65941,401",,,,,,,,,
Private Accredited,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24*
"Daystar University5,5935,0844,5973,8523,2962,3346,2305,192",,,,,,,,
Baraton University,"2,082","2,883","3,399","2,898","4,451","4,978","5,158","5,201"
"Catholic University4,9183,2414,8976,9664,9933,1377,1558,645",,,,,,,,
"United States International University-Africa","6,658","6,424","5,182","6,174","6,174","7,311","5,463","6,071"
Scott Theological College84519584688688551746646,,,,,,,,
Agha Khan University,952,..,..,..,..,205,561,..
"Strathmore University5,0474,0854,8246,6416,6427,2827,5718,189",,,,,,,,
Kabarak University,"4,176","3,766","5,653","7,387","7,387","8,660","6,355","5,243"
"Nazarene University2,9702,7672,7463,2631984,7892,8682,018",,,,,,,,
Kenya Methodist University,"9,131","9,926","6,571","7,150","7,150","6,937","8,107","5,828"
"Kiriri Women University of Sc.Tech858..2,8422,0811,9062,7374,5394,073",,,,,,,,
Mount Kenya University,..,..,..,..,"26,740","32,891","48,670","36,861"
"Other Universities42,72642,23344,92249,52824,98531,7728,8648,493",,,,,,,,
Sub Total,"85,195","80,928","86,217","96,628","94,610","113,584","112,287","96,460"
"Diploma & Certificate Students....28,05827,87918,10726,49730,81338,391",,,,,,,,
