Turkana,"62,417","31,683 30,734",,"19,463 9,772 9,691",31.2 30.8 31.5
West Pokot,"47,311","23,977 23,334",,"23,644 11,756 11,888",50.0 49.0 50.9
Samburu,"23,135","11,755 11,380",,"10,862 5,591 5,271",47.0 47.6 46.3
Trans Nzoia,"55,644","28,318 27,326",,"41,142 20,333 20,809",73.9 71.8 76.2
Uasin Gishu,"55,857","28,580 27,277",,"46,798 23,707 23,091",83.8 82.9 84.7
Elgeyo-Marakwet,"26,604","13,419 13,185",,"21,430 10,686 10,744",80.6 79.6 81.5
Nandi,"44,522","22,600 21,922",,"35,770 17,812 17,958",80.3 78.8 81.9
Baringo,"41,971","21,702 20,269",,"28,544 14,690 13,854",68.0 67.7 68.4
Laikipia,"26,361","13,308 13,053",,"19,445 9,762 9,683",73.8 73.4 74.2
Nakuru,"108,008","55,065 52,943",,"89,768 45,284 44,484",83.1 82.2 84.0
Narok,"84,337","42,733 41,604",,"48,289 23,987 24,302",57.3 56.1 58.4
Kajiado,"62,830","31,782 31,048",,"44,330 22,338 21,992",70.6 70.3 70.8
Kericho,"46,462","23,526 22,936",,"38,869 19,319 19,550",83.7 82.1 85.2
Bomet,"48,294","24,991 23,303",,"39,338 19,935 19,403",81.5 79.8 83.3
Kakamega,"100,310","50,532 49,778",,"77,049 37,772 39,277",76.8 74.7 78.9
Vihiga,"28,042","14,175 13,867",,"22,553 11,130 11,423",80.4 78.5 82.4
Bungoma,"97,122","48,960 48,162",,"71,103 34,868 36,235",73.2 71.2 75.2
Busia,"47,231","23,498 23,733",,"35,279 17,127 18,152",74.7 72.9 76.5
Siaya,"52,231","26,484 25,747",,"43,119 21,482 21,637",82.6 81.1 84.0
Kisumu,"56,544","28,295 28,249",,"49,929 24,714 25,215",88.3 87.3 89.3
Homabay,"67,159","33,820 33,339",,"57,877 28,872 29,005",86.2 85.4 87.0
Migori,"69,273","34,610 34,663",,"56,557 27,866 28,691",81.6 80.5 82.8
Kisii,"63,018","31,590 31,428",,"53,468 26,462 27,006",84.8 83.8 85.9
Nyamira,"28,933","14,598 14,335",,"24,537 12,218 12,319",84.8 83.7 85.9
Nairobi City,"183,305","92,041 91,264",,"161,827 80,788 81,039",88.3 87.8 88.8
National/,,Population (6-13),,Total Enrolment Age 6-13,Total Net Enrolment Rate (Total NER)
Residence/County,Total,Male Female,,Total Male Female,Total Male Female
KENYA,"10,073,836","5,067,361  5,006,475",,"8,931,818  4,470,589  4,461,229",88.7 88.2 89.1
Rural,"7,619,236","3,854,128  3,765,108",,"6,648,325  3,344,373  3,303,952",87.3 86.8 87.8
Urban,"2,454,600","1,213,233  1,241,367",,"2,283,493  1,126,216  1,157,277",93.0 92.8 93.2
Mombasa,"194,648","96,339 98,309",,"186,405 92,204 94,201",95.8 95.7 95.8
Kwale,"204,230","102,999 101,231",,"185,121 93,187 91,934",90.6 90.5 90.8
Kilifi,"328,788","164,743 164,045",,"311,587 155,864 155,723",94.8 94.6 94.9
Tana River,"80,003","40,686 39,317",,"53,766 27,389 26,377",67.2 67.3 67.1
Lamu,"29,584","14,994 14,590",,"26,870 13,544 13,326",90.8 90.3 91.3
Taita-Taveta,"61,790","31,029 30,761",,"60,318 30,255 30,063",97.6 97.5 97.7
Garissa,"218,784","119,564 99,220",,"53,811 29,550 24,261",24.6 24.7 24.5
Wajir,"219,687","116,370 103,317",,"65,415 35,230 30,185",29.8 30.3 29.2
Mandera,"255,846","126,662 129,184",,"85,234 43,107 42,127",33.3 34.0 32.6
