Siaya,"104,596","52,960 51,636","98,472 49,918 48,554",94.1 94.3 94.0
Kisumu,"115,506","56,969 58,537","109,214 53,996 55,218",94.6 94.8 94.3
Homabay,"123,398","62,221 61,177","116,159 59,096 57,063",94.1 95.0 93.3
Migori,"118,808","59,510 59,298","108,682 55,063 53,619",91.5 92.5 90.4
Kisii,"133,383","66,880 66,503","124,850 62,982 61,868",93.6 94.2 93.0
Nyamira,"64,054","32,320 31,734","60,165 30,498 29,667",93.9 94.4 93.5
Nairobi City,"268,373","125,397 142,976","248,225 117,720 130,505",92.5 93.9 91.3
National/,Population Age 20-22 Years,Completion Rate,,Gender Parity
Residence/County,Total Male Female,Total Male,Female,Index
KENYA,"2,694,942  1,282,791  1,412,038",31.3 31.3,31.2,1.00
Rural,"1,702,994 846,136 856,798",25.1 25.0,25.2,1.01
Urban,"991,948 436,655 555,240",42.0 43.6,40.6,0.93
Mombasa,"77,715 34,816 42,897",37.1 39.5,35.1,0.89
Kwale,"44,508 20,403 24,104",17.0 17.8,16.2,0.91
Kilifi,"83,374 39,496 43,875",20.5 21.2,19.9,0.94
Tana River,"17,211 8,070 9,141",16.4 20.4,12.8,0.63
Lamu,"7,867 4,131 3,736",27.1 31.7,22.0,0.69
Taita-Taveta,"17,410 8,824 8,586",37.2 36.6,37.8,1.03
Garissa,"60,343 32,871 27,465",5.4 6.2,4.5,0.73
Wajir,"46,226 23,866 22,354",4.7 5.7,3.6,0.63
Mandera,"51,296 25,426 25,868",5.8 7.2,4.5,0.63
Marsabit,"27,706 14,619 13,087",11.1 11.8,10.3,0.87
Isiolo,"16,187 8,133 8,054",18.8 19.3,18.3,0.95
Meru,"81,445 39,715 41,727",28.7 27.1,30.2,1.11
Tharaka-Nithi,"19,224 9,392 9,830",31.2 29.9,32.4,1.08
Embu,"32,058 16,149 15,907",36.1 33.6,38.6,1.15
Kitui,"56,698 28,045 28,652",26.8 24.9,28.6,1.15
Machakos,"76,783 38,376 38,404",39.2 37.4,41.0,1.09
Makueni,"49,301 25,760 23,541",34.7 32.3,37.4,1.16
Nyandarua,"30,159 15,420 14,738",42.8 40.6,45.0,1.11
Nyeri,"35,964 18,155 17,809",47.8 46.9,48.8,1.04
Kirinyaga,"27,723 13,737 13,982",43.7 43.5,44.0,1.01
Murang'a,"46,289 23,667 22,621",42.6 41.1,44.2,1.07
Kiambu,"150,456 67,931 82,515",47.5 48.9,46.3,0.95
Turkana,"62,692 33,987 28,702",7.3 7.8,6.8,0.88
West Pokot,"33,964 15,783 18,181",14.1 15.5,12.8,0.83
Samburu,"19,003 9,312 9,689",14.2 16.9,11.6,0.68
Trans Nzoia,"52,802 25,608 27,191",28.3 27.6,29.0,1.05
Uasin Gishu,"74,766 35,842 38,922",38.0 37.7,38.3,1.02
Elgeyo-Marakwet,"26,832 13,569 13,263",31.8 31.5,32.1,1.02
Nandi,"49,848 24,612 25,236",29.1 28.3,29.8,1.05
Baringo,"39,063 19,325 19,738",27.2 27.2,27.1,0.99
Laikipia,"26,631 12,817 13,814",37.3 37.5,37.1,0.99
Nakuru,"126,500 61,835 64,655",42.3 44.0,40.6,0.92
Narok,"63,422 29,390 34,030",19.3 20.2,18.5,0.91
Kajiado,"68,162 30,727 37,433",35.7 36.6,34.9,0.96
Kericho,"51,822 24,821 26,999",29.4 29.7,29.1,0.98
Bomet,"49,892 23,691 26,201",28.5 28.9,28.1,0.97
Kakamega,"95,745 45,997 49,745",27.0 25.6,28.4,1.11
Vihiga,"27,714 13,702 14,011",32.1 30.5,33.7,1.10
Bungoma,"86,744 41,311 45,433",25.8 25.0,26.5,1.06
Busia,"48,694 22,947 25,746",24.0 24.0,23.9,0.99
Siaya,"49,783 23,220 26,558",28.1 28.0,28.3,1.01
Kisumu,"68,187 30,834 37,351",33.3 34.7,32.2,0.93
Homabay,"59,596 27,006 32,586",27.7 29.4,26.3,0.89
Migori,"62,736 27,830 34,905",25.7 27.2,24.4,0.90
Kisii,"62,569 28,302 34,265",33.7 34.4,33.1,0.96
Nyamira,"27,182 12,519 14,663",33.3 33.1,33.4,1.01
Nairobi City,"304,650 130,802 173,828",46.1 48.7,44.1,0.91
National/,Use of Mobile Phones,Use of Internet,Use of Desktop Computers/Laptops/Tablets
Residence/County,Total Male Female,Total Male Female,Total Male Female
KENYA,48.9 53.3 44.3,24.0 28.8 19.0,12.0 13.3 10.7
Rural,43.6 48.5 38.6,16.8 21.6 11.9,7.3 8.2 6.2
Urban,61.5 65.4 57.7,41.1 47.1 35.5,23.5 26.1 20.9
Mombasa,58.9 63.7 53.9,41.0 46.9 35.1,20.8 22.9 18.7
Kwale,48.6 54.7 41.8,19.2 24.5 13.2,8.6 9.5 7.5
Kilifi,49.3 56.2 41.5,19.7 25.6 13.1,10.7 12.0 9.1
Tana River,45.6 51.9 36.8,19.7 25.9 11.0,7.0 8.0 5.6
Lamu,47.9 52.8 42.1,22.2 27.3 16.2,8.4 8.6 8.1
Taita-Taveta,53.6 59.2 48.1,23.4 29.9 17.0,13.7 15.0 12.5
Garissa,51.6 53.1 48.9,31.5 32.6 29.5,8.1 8.3 7.8
Wajir,47.1 48.5 44.8,24.6 25.5 23.2,6.6 6.8 6.2
Mandera,41.2 42.8 38.5,20.6 21.9 18.4,4.9 5.2 4.3
Marsabit,41.3 45.2 36.3,21.1 23.8 17.5,6.0 6.6 5.1
Isiolo,42.9 47.3 37.8,23.9 27.4 19.8,8.0 8.8 7.0
Meru,57.5 62.9 52.7,29.9 37.1 23.4,11.6 13.7 9.8
Tharaka-Nithi,58.6 63.5 53.8,23.7 28.7 18.8,9.8 10.8 8.7
Embu,55.7 60.8 50.9,24.3 30.0 18.9,11.0 12.4 9.7
Kitui,44.3 50.3 38.6,13.6 17.7 9.7,4.9 5.5 4.3
Machakos,49.1 53.8 44.5,24.2 28.5 19.9,12.3 13.5 11.1
Makueni,41.9 48.0 35.9,13.0 17.1 8.9,5.6 6.4 4.7
Nyandarua,54.8 59.6 49.8,19.5 25.3 13.7,8.4 9.3 7.5
Nyeri,64.3 68.5 59.8,33.1 39.7 26.2,17.3 19.0 15.6
Kirinyaga,62.1 66.8 57.2,29.2 35.9 22.3,13.3 14.7 11.9
Murang'a,56.4 60.7 51.9,23.1 28.2 17.7,10.3 11.3 9.3
Kiambu,61.4 64.7 58.3,38.3 43.2 33.6,22.1 24.3 20.0
Turkana,39.7 42.9 34.6,21.1 24.8 15.5,5.9 6.5 5.0
West Pokot,32.8 37.9 27.0,13.2 17.1 8.7,4.1 4.7 3.4
Samburu,45.5 48.9 40.8,22.3 25.7 17.3,8.8 9.1 8.5
Trans Nzoia,39.4 44.3 34.6,17.1 22.1 12.2,8.0 9.3 6.7
Uasin Gishu,47.4 52.5 42.6,24.8 30.6 19.3,13.4 15.2 11.6
Elgeyo-Marakwet,34.6 39.2 30.0,12.7 16.7 8.9,5.2 5.9 4.5
Nandi,40.0 46.3 33.9,16.7 22.1 11.3,7.0 7.8 6.2
Baringo,37.7 42.5 32.7,16.3 20.5 11.9,7.1 7.8 6.3
Laikipia,51.3 55.8 46.6,23.7 28.8 18.3,11.6 12.6 10.6
Nakuru,51.2 56.2 46.0,26.5 32.7 20.0,13.5 15.7 11.2
Narok,37.5 43.6 30.5,15.9 20.6 10.6,5.7 6.3 5.0
Kajiado,58.0 61.9 54.2,37.4 41.5 33.3,20.1 21.2 19.0
Kericho,36.3 41.1 31.4,16.6 21.6 11.6,8.5 9.7 7.2
Bomet,34.2 38.4 29.9,13.5 18.0 8.9,5.6 6.6 4.7
Kakamega,40.8 46.1 35.8,14.9 19.8 10.4,7.2 8.6 5.9
Vihiga,41.2 46.9 36.0,14.5 19.5 9.9,8.2 9.6 6.9
Bungoma,36.6 40.7 32.7,13.6 17.1 10.2,6.3 7.1 5.6
Busia,39.6 44.7 34.5,14.4 19.0 9.9,7.0 8.4 5.7
Siaya,50.0 54.2 45.9,18.3 23.3 13.4,8.8 10.0 7.6
Kisumu,52.7 57.1 48.4,24.8 30.2 19.6,13.7 15.5 11.9
Homabay,48.2 52.0 44.2,18.4 23.0 13.4,8.1 9.5 6.6
Migori,44.7 49.0 39.9,18.2 23.0 13.0,7.7 8.9 6.5
Kisii,39.4 43.4 35.3,16.0 20.7 11.3,9.1 10.4 7.8
Nyamira,37.8 41.7 33.8,15.0 19.7 10.4,8.6 10.0 7.3
Nairobi City,68.9 72.4 65.6,51.2 57.4 45.5,31.4 34.9 28.1
Residence/County,Total,Male,Female
KENYA,"19,227","9,777","9,450"
Rural,"15,283","7,950","7,333"
Urban,"3,944","1,827","2,117"
Mombasa,533,256,277
Kwale,375,193,182
Kilifi,875,441,434
Tana River,181,102,79
Lamu,46,25,21
Taita-Taveta,82,36,46
Garissa,691,410,281
Wajir,498,293,205
Mandera,583,310,273
Marsabit,180,100,80
Isiolo,91,46,45
Meru,704,363,341
Tharaka-Nithi,213,111,102
Embu,199,98,101
Kitui,532,288,244
Machakos,468,236,232
Makueni,269,126,143
Nyandarua,107,37,70
Nyeri,116,42,74
Kirinyaga,149,64,85
Murang'a,184,83,101
Kiambu,388,143,245
Turkana,896,465,431
West Pokot,538,284,254
Samburu,159,90,69
Trans Nzoia,464,245,219
Uasin Gishu,366,192,174
Elgeyo-Marakwet,226,129,97
Nandi,530,297,233
Baringo,336,181,155
Laikipia,173,73,100
Nakuru,439,192,247
Narok,662,354,308
Kajiado,456,209,247
Kericho,261,134,127
Bomet,203,108,95
Kakamega,883,482,401
Vihiga,259,129,130
Bungoma,814,424,390
Busia,443,248,195
Siaya,245,126,119
Kisumu,354,188,166
Homabay,441,208,233
Migori,515,270,245
Kisii,645,316,329
Nyamira,345,154,191
Nairobi City,"1,110",476,634
Residence/,Enrolment of Persons Living with Disabilities
County,Total Male Female
KENYA,"17,575 10,078 7,497"
Rural,"13,698 7,807 5,891"
Urban,"3,877 2,271 1,606"
Mombasa,372 209 163
Kwale,430 223 207
Kilifi,668 366 302
Tana River,127 77 50
Lamu,58 33 25
Taita-Taveta,105 61 44
Garissa,35 17 18
Wajir,26 12 14
Mandera,62 32 30
Marsabit,53 26 27
Isiolo,46 25 21
Meru,658 373 285
Tharaka-Nithi,163 107 56
Embu,242 127 115
Kitui,347 215 132
Machakos,421 245 176
Makueni,389 229 160
Nyandarua,204 127 77
Nyeri,171 87 84
Kirinyaga,181 101 80
Murang'a,250 137 113
Kiambu,650 390 260
Turkana,128 66 62
West Pokot,178 96 82
Samburu,82 45 37
Trans Nzoia,515 292 223
Uasin Gishu,351 220 131
Elgeyo-Marakwet,101 56 45
Nandi,319 173 146
Baringo,140 66 74
Laikipia,118 68 50
Nakuru,553 325 228
Narok,247 142 105
Kajiado,237 120 117
Kericho,137 71 66
Bomet,179 114 65
Kakamega,"1,113 643 470"
Vihiga,294 166 128
Bungoma,844 478 366
Busia,499 279 220
Siaya,771 454 317
Kisumu,887 525 362
Homabay,"1,342 772 570"
Migori,"1,018 585 433"
Kisii,630 368 262
Nyamira,230 138 92
Nairobi City,"1,004 597 407"
Residence/,Primary School Enrolment,Number with Disability,Percentage Enrolled
County,Total Male Female,Total Male Female,Total Male Female
KENYA,"10,064,301  5,109,583  4,954,718","84,131   46,295   37,836",0.8 0.9 0.8
Rural,"7,628,577  3,903,472  3,725,105","67,645   37,447   30,198",0.9 1.0 0.8
Urban,"2,435,724  1,206,111  1,229,613","16,486 8,848 7,638",0.7 0.7 0.6
Mombasa,"200,140 99,370 100,770","1,368 720 648",0.7 0.7 0.6
Kwale,"208,512 106,403 102,109","1,207 678 529",0.6 0.6 0.5
Kilifi,"375,381 190,072 185,309","2,157 1,211 946",0.6 0.6 0.5
Tana River,"55,350 28,122 27,228",359 201 158,0.6 0.7 0.6
Lamu,"30,722 15,673 15,049",183 105 78,0.6 0.7 0.5
Taita-Taveta,"67,949 34,844 33,105",531 304 227,0.8 0.9 0.7
Garissa,"71,860 40,904 30,956",278 178 100,0.4 0.4 0.3
Wajir,"78,332 43,435 34,897",263 156 107,0.3 0.4 0.3
Mandera,"104,585 54,796 49,789",506 268 238,0.5 0.5 0.5
Marsabit,"67,252 33,750 33,502",186 98 88,0.3 0.3 0.3
Isiolo,"46,912 23,574 23,338",213 111 102,0.5 0.5 0.4
Meru,"325,152 164,063 161,089","3,474 1,869 1,605",1.1 1.1 1.0
Tharaka-Nithi,"82,218 41,758 40,460",922 508 414,1.1 1.2 1.0
Embu,"115,309 59,469 55,840","1,622 840 782",1.4 1.4 1.4
Kitui,"306,741 157,231 149,510","2,097 1,171 926",0.7 0.7 0.6
Machakos,"288,438 148,819 139,619","2,099 1,209 890",0.7 0.8 0.6
Makueni,"235,336 121,682 113,654","2,744 1,504 1,240",1.2 1.2 1.1
Nyandarua,"136,536 70,571 65,965","1,079 606 473",0.8 0.9 0.7
Nyeri,"128,194 65,840 62,354",908 491 417,0.7 0.7 0.7
Kirinyaga,"101,750 51,884 49,866",927 479 448,0.9 0.9 0.9
Murang'a,"200,338 102,710 97,628","1,506 809 697",0.8 0.8 0.7
Kiambu,"381,821 191,583 190,238","2,675 1,430 1,245",0.7 0.7 0.7
Turkana,"107,499 55,855 51,644",545 322 223,0.5 0.6 0.4
West Pokot,"139,839 70,158 69,681",650 351 299,0.5 0.5 0.4
Samburu,"48,747 25,166 23,581",300 180 120,0.6 0.7 0.5
Trans Nzoia,"259,391 132,286 127,105","2,521 1,407 1,114",1.0 1.1 0.9
Uasin Gishu,"254,218 129,207 125,011","1,563 884 679",0.6 0.7 0.5
Elgeyo-Marakwet,"117,334 59,624 57,710",482 279 203,0.4 0.5 0.4
Nandi,"225,572 116,107 109,465","1,504 810 694",0.7 0.7 0.6
Baringo,"145,491 74,913 70,578",765 431 334,0.5 0.6 0.5
Laikipia,"102,334 52,450 49,884",582 324 258,0.6 0.6 0.5
Nakuru,"465,970 237,518 228,452","3,058 1,676 1,382",0.7 0.7 0.6
Narok,"292,821 149,508 143,313","1,096 629 467",0.4 0.4 0.3
Kajiado,"210,147 105,347 104,800",988 530 458,0.5 0.5 0.4
Kericho,"222,193 113,669 108,524",840 488 352,0.4 0.4 0.3
Bomet,"235,193 120,290 114,903","1,024 575 449",0.4 0.5 0.4
Kakamega,"516,466 259,723 256,743","5,896 3,275 2,621",1.1 1.3 1.0
Vihiga,"155,963 78,777 77,186","1,605 890 715",1.0 1.1 0.9
Bungoma,"462,303 234,826 227,477","4,394 2,469 1,925",1.0 1.1 0.8
Busia,"243,907 121,584 122,323","2,591 1,396 1,195",1.1 1.1 1.0
Siaya,"261,331 132,130 129,201","3,731 2,061 1,670",1.4 1.6 1.3
Kisumu,"278,669 139,752 138,917","4,470 2,447 2,023",1.6 1.8 1.5
Homabay,"301,323 151,431 149,892","5,552 3,040 2,512",1.8 2.0 1.7
Migori,"302,425 151,510 150,915","4,410 2,392 2,018",1.5 1.6 1.3
Kisii,"309,637 156,763 152,874","2,936 1,621 1,315",0.9 1.0 0.9
Nyamira,"144,916 73,981 70,935","1,268 693 575",0.9 0.9 0.8
Nairobi City,"651,784 320,455 331,329","4,056 2,179 1,877",0.6 0.7 0.6
Residence/,Primary School Enrolment,Number with Disability,Percentage Enrolled
County,Total Male Female,Total Male Female,Total Male Female
KENYA,"3,470,895  1,746,881  1,724,014","27,982   13,287   14,695",0.8 0.8 0.9
Rural,"2,454,759  1,251,447  1,203,312","20,849   10,059   10,790",0.8 0.8 0.9
Urban,"1,016,136 495,434 520,702","7,133 3,228 3,905",0.7 0.7 0.7
Mombasa,"70,018 35,322 34,696",493 208 285,0.7 0.6 0.8
Kwale,"37,439 19,741 17,698",240 122 118,0.6 0.6 0.7
Kilifi,"84,679 44,545 40,134",499 250 249,0.6 0.6 0.6
Tana River,"12,560 7,369 5,191",78 37 41,0.6 0.5 0.8
Lamu,"7,716 4,157 3,559",66 28 38,0.9 0.7 1.1
Taita-Taveta,"23,264 11,483 11,781",139 63 76,0.6 0.5 0.6
Garissa,"28,540 18,468 10,072",149 103 46,0.5 0.6 0.5
Wajir,"26,201 16,410 9,791",89 63 26,0.3 0.4 0.3
Mandera,"31,212 19,107 12,105",127 73 54,0.4 0.4 0.4
Marsabit,"16,886 9,538 7,348",36 21 15,0.2 0.2 0.2
Isiolo,"13,072 7,040 6,032",65 35 30,0.5 0.5 0.5
Meru,"109,429 51,581 57,848","1,176 493 683",1.1 1.0 1.2
Tharaka-Nithi,"32,254 16,023 16,231",307 147 160,1.0 0.9 1.0
Embu,"47,739 23,207 24,532",605 247 358,1.3 1.1 1.5
Kitui,"92,015 45,257 46,758",575 272 303,0.6 0.6 0.6
Machakos,"108,967 53,884 55,083",686 324 362,0.6 0.6 0.7
Makueni,"90,940 44,982 45,958",879 379 500,1.0 0.8 1.1
Nyandarua,"62,184 31,187 30,997",456 209 247,0.7 0.7 0.8
Nyeri,"64,005 32,532 31,473",417 194 223,0.7 0.6 0.7
Kirinyaga,"46,691 23,691 23,000",355 163 192,0.8 0.7 0.8
Murang'a,"86,074 44,082 41,992",603 282 321,0.7 0.6 0.8
Kiambu,"171,109 83,048 88,061","1,242 580 662",0.7 0.7 0.8
Turkana,"30,573 18,496 12,077",126 73 53,0.4 0.4 0.4
West Pokot,"37,434 20,007 17,427",143 84 59,0.4 0.4 0.3
Samburu,"13,056 7,689 5,367",67 37 30,0.5 0.5 0.6
Trans Nzoia,"87,205 43,541 43,664",726 357 369,0.8 0.8 0.8
Uasin Gishu,"101,852 49,798 52,054",625 290 335,0.6 0.6 0.6
Elgeyo-Marakwet,"39,569 19,585 19,984",149 74 75,0.4 0.4 0.4
Nandi,"77,862 38,547 39,315",493 244 249,0.6 0.6 0.6
Baringo,"50,124 25,517 24,607",210 117 93,0.4 0.5 0.4
Laikipia,"39,649 20,287 19,362",207 93 114,0.5 0.5 0.6
Nakuru,"184,758 94,070 90,688","1,207 578 629",0.7 0.6 0.7
Narok,"67,741 36,292 31,449",241 116 125,0.4 0.3 0.4
Kajiado,"67,495 33,640 33,855",358 168 190,0.5 0.5 0.6
Kericho,"80,842 40,619 40,223",294 153 141,0.4 0.4 0.4
Bomet,"79,385 40,633 38,752",249 122 127,0.3 0.3 0.3
Kakamega,"152,094 73,205 78,889","1,576 710 866",1.0 1.0 1.1
Vihiga,"49,960 23,844 26,116",466 225 241,0.9 0.9 0.9
Bungoma,"149,659 73,339 76,320","1,396 652 744",0.9 0.9 1.0
Busia,"73,647 36,712 36,935",775 379 396,1.1 1.0 1.1
Siaya,"77,629 38,314 39,315","1,132 541 591",1.5 1.4 1.5
Kisumu,"98,768 48,596 50,172","1,519 718 801",1.5 1.5 1.6
Homabay,"98,865 51,094 47,771","1,848 951 897",1.9 1.9 1.9
Migori,"86,765 45,119 41,646","1,270 655 615",1.5 1.5 1.5
Kisii,"120,389 60,445 59,944","1,235 610 625",1.0 1.0 1.0
Nyamira,"59,074 29,406 29,668",519 213 306,0.9 0.7 1.0
Nairobi City,"283,506 135,432 148,074","1,869 834 1,035",0.7 0.6 0.7
"",,Number of Partial Orphans  Number of Partial Orphans
"(Mother Alive) Residence/Pre-Primary School Enrolment",Number of Orphans,(Father Alive)
County Total Male Female,Total Male Female,Total Male Female Total Male Female
"KENYA  3,277,603  1,672,081  1,605,522","11,306 5,743 5,563","30,680 16,168 14,512  164,555  84,396   80,159"
"Rural  2,354,122  1,205,707  1,148,415","9,185 4,687 4,498","23,611 12,583 11,028  132,494  68,305   64,189"
"Urban 923,481 466,374 457,107","2,121 1,056 1,065","7,069 3,585 3,484 32,061  16,091   15,970"
"Mombasa 85,275 42,929 42,346",126 73,"53 714 359 355 2,269 1,121 1,148"
"Kwale 82,852 42,554 40,298",177 97,"80 863 432 431 2,969 1,517 1,452"
"Kilifi 132,777 67,751 65,026",234 119,"115 1,247 643 604 4,680 2,485 2,195"
"Tana River 25,493 13,396 12,097",51 17,34 399 204 195 754 420 334
"Lamu 10,476 5,394 5,082",12 7,5 105 63 42 344 158 186
"Taita-Taveta 20,546 10,446 10,100",58 33,25 165 85 80 826 438 388
"Garissa 13,138 6,776 6,362",165 91,74 315 180 135 543 265 278
"Wajir 15,045 7,726 7,319",118 58,60 376 200 176 558 298 260
"Mandera 19,945 9,477 10,468",89 51,38 527 228 299 631 297 334
"Marsabit 20,087 10,018 10,069",119 53,"66 278 136 142 1,289 581 708"
"Isiolo 16,860 8,587 8,273",122 57,65 313 156 157 747 384 363
"Meru 96,558 49,483 47,075",241 110,"131 888 483 405 3,692 1,938 1,754"
"Tharaka-Nithi 22,600 11,594 11,006",50 25,25 221 118 103 876 442 434
"Embu 30,141 15,320 14,821",115 64,"51 214 113 101 1,706 866 840"
"Kitui 74,223 38,161 36,062",344 181,"163 586 305 281 4,644 2,422 2,222"
"Machakos 79,615 40,916 38,699",300 148,"152 584 302 282 4,871 2,489 2,382"
"Makueni 52,918 27,305 25,613",213 108,"105 397 240 157 3,263 1,674 1,589"
"Nyandarua 40,054 20,655 19,399",140 70,"70 268 151 117 2,618 1,372 1,246"
"Nyeri 40,250 20,630 19,620",133 65,"68 241 127 114 2,501 1,292 1,209"
"Kirinyaga 32,735 16,529 16,206",85 44,"41 248 133 115 1,507 756 751"
"Murang'a 55,029 27,904 27,125",211 110,"101 387 203 184 3,453 1,797 1,656"
"Kiambu 140,382 71,233 69,149",279 126,"153 820 417 403 5,735 2,862 2,873"
"Turkana 39,938 19,973 19,965",385 202,"183 578 285 293 2,834 1,406 1,428"
"West Pokot 50,586 25,696 24,890",49 22,"27 498 282 216 1,053 516 537"
"Samburu 21,877 11,380 10,497",76 24,"52 183 85 98 1,600 827 773"
"Trans Nzoia 78,131 39,853 38,278",248 138,"110 771 423 348 2,451 1,267 1,184"
"Uasin Gishu 81,540 42,055 39,485",181 92,"89 561 299 262 2,820 1,500 1,320"
"Elgeyo-Marakwet 38,437 19,767 18,670",61 31,30 330 159 171 848 428 420
"Nandi 67,337 34,576 32,761",137 75,"62 533 295 238 3,459 1,817 1,642"
"Baringo 46,628 24,303 22,325",84 37,"47 402 217 185 1,417 724 693"
"Laikipia 34,092 17,516 16,576",104 51,"53 246 131 115 1,913 984 929"
"Nakuru 153,418 78,792 74,626",519 276,"243 1,129 580 549 7,726 3,910 3,816"
"Narok 106,180 54,413 51,767",155 75,"80 716 398 318 5,173 2,726 2,447"
"Kajiado 82,955 42,134 40,821",123 65,"58 542 283 259 3,292 1,671 1,621"
"Kericho 62,475 32,042 30,433",133 64,"69 390 207 183 4,197 2,124 2,073"
"Bomet 64,252 33,357 30,895",143 73,"70 415 217 198 4,061 2,108 1,953"
"Kakamega 153,055 78,532 74,523",502 275,"227 1,751 929 822 5,085 2,678 2,407"
"Vihiga 42,487 21,636 20,851",182 77,"105 584 331 253 1,823 915 908"
"Bungoma 140,482 71,742 68,740",390 188,"202 1,431 752 679 4,134 2,108 2,026"
"Busia 75,349 38,096 37,253",266 139,"127 828 448 380 2,794 1,428 1,366"
"Siaya 85,965 43,870 42,095",653 359,"294 1,319 706 613 6,827 3,491 3,336"
"Kisumu 95,306 48,353 46,953",611 305,"306 1,153 622 531 7,712 3,916 3,796"
"Homabay 119,216 60,643 58,573",835 442,"393 1,640 863 777 11,657 6,042 5,615"
"Migori 115,926 58,682 57,244",757 379,"378 1,336 704 632 10,264 5,331 4,933"
"Kisii 104,443 53,090 51,353",625 304,"321 1,008 538 470 8,918 4,592 4,326"
"Nyamira 45,923 23,548 22,375",289 147,"142 411 221 190 4,105 2,093 2,012"
"Nairobi City 264,606 133,248 131,358",416 196,"220 1,769 915 854 7,916 3,920 3,996"
"",,,Number of Partial Orphans,Number of Partial Orphans
Residence/ Pre-Primary Enrolment,,Number of Orphans,(Father Alive),(Mother Alive)
County Total,Male Female,Total Male Female,Total Male Female,Total Male Female
"KENYA  10,064,301","5,109,583  4,954,718","137,438   69,568   67,870","205,535  107,503   98,032","851,727  435,973  415,754"
"Rural 7,629,766","3,904,077  3,725,689","107,523   55,415   52,108","159,436 84,440   74,996","679,646  352,113  327,533"
"Urban 2,434,535","1,205,506  1,229,029","29,915   14,153   15,762","46,099 23,063   23,036","172,081 83,860 88,221"
"Mombasa 200,140","99,370 100,770","2,445 1,163 1,282","3,988 1,948 2,040","12,499 6,104 6,395"
"Kwale 208,512","106,403 102,109","2,036 1,074 962","4,987 2,644 2,343","15,280 7,819 7,461"
"Kilifi 375,381","190,072 185,309","3,140 1,677 1,463","7,575 3,897 3,678","30,402 15,617 14,785"
"Tana River 55,350","28,122 27,228",588 312 276,"1,584 846 738","3,544 1,813 1,731"
"Lamu 30,722","15,673 15,049",302 166 136,769 421 348,"1,881 958 923"
"Taita-Taveta 67,949","34,844 33,105",949 502 447,"1,342 718 624","5,207 2,754 2,453"
"Garissa 71,860","40,904 30,956","2,017 1,201 816","2,926 1,775 1,151","5,215 2,879 2,336"
"Wajir 78,332","43,435 34,897","1,532 875 657","2,991 1,682 1,309","3,966 2,191 1,775"
"Mandera 104,585","54,796 49,789","1,458 816 642","3,496 1,807 1,689","5,315 2,777 2,538"
"Marsabit 67,252","33,750 33,502","1,323 666 657","1,679 870 809","6,910 3,341 3,569"
"Isiolo 46,912","23,574 23,338","1,023 547 476","1,412 722 690","3,670 1,795 1,875"
"Meru 325,152","164,063 161,089","3,213 1,632 1,581","6,111 3,182 2,929","23,026 11,626 11,400"
"Tharaka-Nithi82,218","41,758 40,460",756 386 370,"1,610 844 766","5,247 2,626 2,621"
"Embu 115,309","59,469 55,840","1,302 652 650","1,937 1,035 902","9,735 5,087 4,648"
"Kitui 306,741","157,231 149,510","4,658 2,442 2,216","5,248 2,737 2,511","28,102 14,554 13,548"
"Machakos 288,438","148,819 139,619","4,337 2,195 2,142","5,063 2,684 2,379","24,567 12,627 11,940"
"Makueni 235,336","121,682 113,654","3,110 1,582 1,528","4,062 2,163 1,899","20,297 10,501 9,796"
"Nyandarua 136,536","70,571 65,965","1,648 849 799","2,021 1,107 914","12,469 6,446 6,023"
"Nyeri 128,194","65,840 62,354","1,711 861 850","1,897 1,017 880","11,320 5,890 5,430"
"Kirinyaga 101,750","51,884 49,866","1,054 500 554","1,584 836 748","7,267 3,717 3,550"
"Murang'a 200,338","102,710 97,628","2,496 1,223 1,273","3,189 1,666 1,523","17,718 9,161 8,557"
"Kiambu 381,821","191,583 190,238","3,595 1,761 1,834","5,540 2,808 2,732","27,939 13,910 14,029"
"Turkana 107,499","55,855 51,644","4,248 2,364 1,884","3,371 1,793 1,578","14,228 7,561 6,667"
"West Pokot 139,839","70,158 69,681","1,007 550 457","2,859 1,499 1,360","7,293 3,784 3,509"
"Samburu 48,747","25,166 23,581",747 407 340,"1,040 537 503","5,753 2,983 2,770"
"Trans Nzoia 259,391","132,286 127,105","2,662 1,303 1,359","5,102 2,713 2,389","15,909 8,288 7,621"
"Uasin Gishu 254,218","129,207 125,011","2,261 1,174 1,087","4,192 2,208 1,984","17,071 8,827 8,244"
"Elgeyo-Marak w  e  t 117,334","59,624 57,710",855 452 403,"2,273 1,196 1,077","5,730 2,942 2,788"
"Nandi 225,572","116,107 109,465","2,211 1,157 1,054","3,881 2,079 1,802","18,162 9,531 8,631"
"Baringo 145,491","74,913 70,578","1,310 686 624","3,062 1,642 1,420","8,918 4,704 4,214"
"Laikipia 102,334","52,450 49,884","1,183 614 569","1,606 881 725","8,705 4,467 4,238"
"Nakuru 465,970","237,518 228,452","5,588 2,825 2,763","7,921 4,057 3,864","38,036 19,404 18,632"
"Narok 292,821","149,508 143,313","1,934 1,016 918","4,175 2,193 1,982","23,483 12,261 11,222"
"Kajiado 210,147","105,347 104,800","1,777 889 888","3,192 1,608 1,584","15,570 7,830 7,740"
"Kericho 222,193","113,669 108,524","2,080 1,098 982","3,455 1,771 1,684","21,739 11,227 10,512"
